web_scraper_order,car_name,image_type,source_url,local_path,status
1779543499-1,MITSUBISHI XPANDER 2019,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/mitsubishi_xpander_2019/p/g/2021/04/02/10/HrlGqt5bOMLhaobhgldi4A.jpg,downloaded_images\cars\mitsubishi-xpander-2019__1779543499-1\01.jpg,downloaded
1779543499-1,MITSUBISHI XPANDER 2019,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/mitsubishi_xpander_2019/p/g/2021/04/02/10/2xEJXRaTpsf42M7EAnU5kw.jpg,downloaded_images\cars\mitsubishi-xpander-2019__1779543499-1\02.jpg,downloaded
1779543499-1,MITSUBISHI XPANDER 2019,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/mitsubishi_xpander_2019/p/g/2021/04/02/10/nKH-mPEI2kdoT_NpYGjLwQ.jpg,downloaded_images\cars\mitsubishi-xpander-2019__1779543499-1\03.jpg,downloaded
1779543499-1,MITSUBISHI XPANDER 2019,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/mitsubishi_xpander_2019/p/g/2021/04/02/10/JbchnvYJc_sep6AFu_u7BQ.jpg,downloaded_images\cars\mitsubishi-xpander-2019__1779543499-1\04.jpg,downloaded
1779543499-1,MITSUBISHI XPANDER 2019,owner_avatar,https://n1-cstg.mioto.vn/m/avatars/avatar-2.png,downloaded_images\owner_avatars\1779543499-1.png,downloaded
1779543499-2,CHEVROLET SPARK 2012,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/chevrolet_spark_2012/p/g/2026/01/12/11/07NhP7x0GWu90R58DPa2Tg.jpg,downloaded_images\cars\chevrolet-spark-2012__1779543499-2\01.jpg,downloaded
1779543499-2,CHEVROLET SPARK 2012,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/chevrolet_spark_2012/p/g/2026/01/11/22/SbZWPahn14bqpJiGIVcMdA.jpg,downloaded_images\cars\chevrolet-spark-2012__1779543499-2\02.jpg,downloaded
1779543499-2,CHEVROLET SPARK 2012,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/chevrolet_spark_2012/p/g/2026/01/11/22/dkUg5a7jIbMtZc5K8gUYZA.jpg,downloaded_images\cars\chevrolet-spark-2012__1779543499-2\03.jpg,downloaded
1779543499-2,CHEVROLET SPARK 2012,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/chevrolet_spark_2012/p/g/2026/01/12/11/so7qSbUFwZOG_2n-MiK34g.jpg,downloaded_images\cars\chevrolet-spark-2012__1779543499-2\04.jpg,downloaded
1779543499-2,CHEVROLET SPARK 2012,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/chevrolet_spark_2012/p/g/2026/01/11/22/2344_8uONYPGoKLGr713sA.jpg,downloaded_images\cars\chevrolet-spark-2012__1779543499-2\05.jpg,downloaded
1779543499-2,CHEVROLET SPARK 2012,owner_avatar,https://n1-cstg.mioto.vn/m/avatars/avatar-2.png,downloaded_images\owner_avatars\1779543499-2.png,downloaded
1779543499-3,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2026/02/19/16/38oT4voQzpj13w0cNJFFZg.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-3\01.jpg,downloaded
1779543499-3,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2026/02/19/16/E7ROvEDK88ilt69xLy-6pQ.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-3\02.jpg,downloaded
1779543499-3,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2026/02/19/16/3PPRQ_eM3XPmj-rXlJjJGg.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-3\03.jpg,downloaded
1779543499-3,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2026/02/19/16/A3C4wXU04Y-vGmIP54G8uQ.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-3\04.jpg,downloaded
1779543499-3,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2026/02/20/20/yX6RpC77t6j-6l84-u3xrA.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-3\05.jpg,downloaded
1779543499-3,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2026/02/19/16/uBBo5_lYZTnnmXJoFjBhFw.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-3\06.jpg,downloaded
1779543499-3,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2026/02/20/19/wPeIIrHYh-sYG867NU1PYw.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-3\07.jpg,downloaded
1779543499-3,VINFAST VF3 2025,owner_avatar,https://n1-astg.mioto.vn/g/2026/02/17/14/-YOpNCqHf7cTzE74WB2MGA.jpg,downloaded_images\owner_avatars\1779543499-3.jpg,downloaded
1779543499-4,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2025/07/02/09/DgIMzHM50x1wUDHQtag57A.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-4\01.jpg,downloaded
1779543499-4,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2025/07/02/09/wzY55Y2qQhLjT_BHn6sTwA.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-4\02.jpg,downloaded
1779543499-4,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2025/07/03/07/t8lYB-ASoWdG51SfU5j7zw.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-4\03.jpg,downloaded
1779543499-4,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2025/07/03/07/D9ogpMg0GjPTntyJRi1mSw.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-4\04.jpg,downloaded
1779543499-4,VINFAST VF3 2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/vinfast_vf3_2025/p/g/2025/07/03/07/L8lQ4Vqbu2mpNuTVV7wxqg.jpg,downloaded_images\cars\vinfast-vf3-2025__1779543499-4\05.jpg,downloaded
1779543499-4,VINFAST VF3 2025,owner_avatar,https://n1-cstg.mioto.vn/m/avatars/avatar-2.png,downloaded_images\owner_avatars\1779543499-4.png,downloaded
1779543499-5,MG5 LUXURY 2024,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/mg5_luxury_2024/p/g/2025/03/16/17/brmag8ZGMsfhQ6PLphPkSA.jpg,downloaded_images\cars\mg5-luxury-2024__1779543499-5\01.jpg,downloaded
1779543499-5,MG5 LUXURY 2024,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/mg5_luxury_2024/p/g/2025/03/16/17/dVHh1zzn1vipzi18f4ye-g.jpg,downloaded_images\cars\mg5-luxury-2024__1779543499-5\02.jpg,downloaded
1779543499-5,MG5 LUXURY 2024,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/mg5_luxury_2024/p/g/2025/03/16/17/vBKMrXVz_lUYfXXNk4VLLA.jpg,downloaded_images\cars\mg5-luxury-2024__1779543499-5\03.jpg,downloaded
1779543499-5,MG5 LUXURY 2024,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/mg5_luxury_2024/p/g/2025/03/16/17/jLHapCzA9s7DVuwsia5RnQ.jpg,downloaded_images\cars\mg5-luxury-2024__1779543499-5\04.jpg,downloaded
1779543499-5,MG5 LUXURY 2024,owner_avatar,https://n1-astg.mioto.vn/g/2025/03/16/17/IeKCcJ4Rskqe80RtgZpgfQ.jpg,downloaded_images\owner_avatars\1779543499-5.jpg,downloaded
1779543499-6,KIA K3 PREMIUM 2022,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/kia_k3_premium_2022/p/g/2025/00/26/20/Rw67tu63y-A2u78x325exQ.jpg,downloaded_images\cars\kia-k3-premium-2022__1779543499-6\01.jpg,downloaded
1779543499-6,KIA K3 PREMIUM 2022,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/kia_k3_premium_2022/p/g/2026/04/11/14/pH7HE3SN97_zgWuvtwO2YA.jpg,downloaded_images\cars\kia-k3-premium-2022__1779543499-6\02.jpg,downloaded
1779543499-6,KIA K3 PREMIUM 2022,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/kia_k3_premium_2022/p/g/2025/00/26/20/BKzdf5ofLMU1Rbn7IHdtkQ.jpg,downloaded_images\cars\kia-k3-premium-2022__1779543499-6\03.jpg,downloaded
1779543499-6,KIA K3 PREMIUM 2022,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/kia_k3_premium_2022/p/g/2022/07/26/12/9W9Wicuk2LiFC6r_UZAGPg.jpg,downloaded_images\cars\kia-k3-premium-2022__1779543499-6\04.jpg,downloaded
1779543499-6,KIA K3 PREMIUM 2022,owner_avatar,https://n1-astg.mioto.vn/g/2022/07/27/10/BVuiqUUmT7JNcvXRsiEITQ.jpg,downloaded_images\owner_avatars\1779543499-6.jpg,downloaded
1779543499-7,TOYOTA INNOVA CROSS  2025,car,https://n1-pstg.mioto.vn/cho_thue_xe_o_to_tu_lai_thue_xe_du_lich_danang/_toyota_innova_cross__2025/p/g/2025/10/18/13/RPUtR3oQ5RVrd8uSIw_KSw.jpg,downloaded_images\cars\toyota-innova-cross-2025__1779543499-7\01.jpg,downloaded
